ticker,date,time,price,volume
ORANGEPL,191031,090000,6.4,190
ORANGEPL,191031,090000,6.4,20
ORANGEPL,191031,090000,6.4,107
ORANGEPL,191031,090000,6.4,71
ORANGEPL,191031,090000,6.4,2
ORANGEPL,191031,090000,6.4,5
ORANGEPL,191031,090000,6.4,7
ORANGEPL,191031,090000,6.4,23
ORANGEPL,191031,090000,6.4,20
ORANGEPL,191031,090000,6.4,7
ORANGEPL,191031,090000,6.4,8
ORANGEPL,191031,090000,6.4,106
ORANGEPL,191031,090000,6.4,6
ORANGEPL,191031,090000,6.4,702
ORANGEPL,191031,090000,6.4,702
ORANGEPL,191031,090000,6.4,847
ORANGEPL,191031,090000,6.4,7252
ORANGEPL,191031,090000,6.4,3342
ORANGEPL,191031,090000,6.4,162
ORANGEPL,191031,090000,6.4,314
ORANGEPL,191031,090000,6.4,500
ORANGEPL,191031,090000,6.4,166
ORANGEPL,191031,090000,6.4,225
ORANGEPL,191031,090000,6.4,400
ORANGEPL,191031,090000,6.4,9587
ORANGEPL,191031,090532,6.385,116
ORANGEPL,191031,090532,6.385,708
ORANGEPL,191031,090532,6.39,140
ORANGEPL,191031,090532,6.39,1371
ORANGEPL,191031,090532,6.39,353
ORANGEPL,191031,090532,6.385,726
ORANGEPL,191031,090532,6.385,921
ORANGEPL,191031,090537,6.38,188
ORANGEPL,191031,090537,6.38,662
ORANGEPL,191031,090820,6.395,1427
ORANGEPL,191031,090820,6.395,1173
ORANGEPL,191031,090830,6.39,1061
ORANGEPL,191031,090830,6.38,215
ORANGEPL,191031,091708,6.375,150
ORANGEPL,191031,092233,6.385,560
ORANGEPL,191031,092233,6.385,140
ORANGEPL,191031,092233,6.385,140
ORANGEPL,191031,092233,6.385,139
ORANGEPL,191031,092400,6.38,699
ORANGEPL,191031,092400,6.38,243
ORANGEPL,191031,092500,6.38,119
ORANGEPL,191031,092500,6.38,530
ORANGEPL,191031,092500,6.38,261
ORANGEPL,191031,092500,6.38,942
ORANGEPL,191031,092500,6.385,1421
ORANGEPL,191031,092500,6.375,3000
ORANGEPL,191031,092500,6.375,2662
ORANGEPL,191031,092500,6.375,2525
ORANGEPL,191031,092928,6.375,265
ORANGEPL,191031,092928,6.375,535
ORANGEPL,191031,092942,6.375,465
ORANGEPL,191031,092942,6.375,1159
ORANGEPL,191031,093127,6.37,2252
ORANGEPL,191031,093127,6.37,1021
ORANGEPL,191031,093128,6.36,1000
ORANGEPL,191031,093128,6.36,1000
ORANGEPL,191031,093139,6.35,187
ORANGEPL,191031,093158,6.35,513
ORANGEPL,191031,093158,6.35,500
ORANGEPL,191031,093209,6.33,81
ORANGEPL,191031,093424,6.32,140
ORANGEPL,191031,093424,6.32,85
ORANGEPL,191031,093424,6.32,1643
ORANGEPL,191031,093425,6.325,737
ORANGEPL,191031,093425,6.33,1525
ORANGEPL,191031,093642,6.34,3157
ORANGEPL,191031,093642,6.34,6
ORANGEPL,191031,093643,6.35,359
ORANGEPL,191031,093704,6.35,155
ORANGEPL,191031,095513,6.34,1733
ORANGEPL,191031,100038,6.335,699
ORANGEPL,191031,100038,6.335,292
ORANGEPL,191031,100038,6.33,1000
ORANGEPL,191031,100038,6.33,1003
ORANGEPL,191031,100038,6.33,1600
ORANGEPL,191031,100038,6.33,699
ORANGEPL,191031,100237,6.325,140
ORANGEPL,191031,100237,6.325,4400
ORANGEPL,191031,100244,6.32,4600
ORANGEPL,191031,100244,6.32,9659
ORANGEPL,191031,100244,6.32,102
ORANGEPL,191031,100411,6.33,6360
ORANGEPL,191031,100411,6.33,741
ORANGEPL,191031,100411,6.33,1803
ORANGEPL,191031,100411,6.33,93
ORANGEPL,191031,100411,6.33,1003
ORANGEPL,191031,100415,6.31,90
ORANGEPL,191031,100415,6.31,280
ORANGEPL,191031,100415,6.31,1003
ORANGEPL,191031,100415,6.31,581
ORANGEPL,191031,100415,6.305,485
ORANGEPL,191031,100452,6.31,354
ORANGEPL,191031,100452,6.31,446
ORANGEPL,191031,100452,6.31,575
ORANGEPL,191031,100537,6.31,140
ORANGEPL,191031,100537,6.31,1460
ORANGEPL,191031,100818,6.305,1000
ORANGEPL,191031,100819,6.305,515
ORANGEPL,191031,100850,6.3,139
ORANGEPL,191031,100850,6.3,100
ORANGEPL,191031,100850,6.3,561
ORANGEPL,191031,100850,6.3,167
ORANGEPL,191031,100850,6.3,500
ORANGEPL,191031,100850,6.3,553
ORANGEPL,191031,101037,6.29,1500
ORANGEPL,191031,101037,6.29,155
ORANGEPL,191031,101038,6.28,100
ORANGEPL,191031,101038,6.28,345
ORANGEPL,191031,101038,6.275,300
ORANGEPL,191031,101038,6.28,333
ORANGEPL,191031,101257,6.27,1000
ORANGEPL,191031,101257,6.27,784
ORANGEPL,191031,101432,6.275,300
ORANGEPL,191031,101434,6.265,279
ORANGEPL,191031,101434,6.265,940
ORANGEPL,191031,101434,6.265,279
ORANGEPL,191031,101517,6.28,1000
ORANGEPL,191031,101526,6.28,786
ORANGEPL,191031,101539,6.27,1800
ORANGEPL,191031,102119,6.275,41
ORANGEPL,191031,102144,6.295,7
ORANGEPL,191031,103042,6.275,501
ORANGEPL,191031,103042,6.275,914
ORANGEPL,191031,103042,6.275,351
ORANGEPL,191031,103042,6.275,49
ORANGEPL,191031,103042,6.275,439
ORANGEPL,191031,103255,6.29,280
ORANGEPL,191031,103257,6.295,2993
ORANGEPL,191031,103257,6.295,1738
ORANGEPL,191031,103257,6.295,20
ORANGEPL,191031,103257,6.3,1316
ORANGEPL,191031,103257,6.3,2500
ORANGEPL,191031,103257,6.3,1562
ORANGEPL,191031,103257,6.3,355
ORANGEPL,191031,103319,6.285,1000
ORANGEPL,191031,103332,6.3,19
ORANGEPL,191031,103332,6.3,401
ORANGEPL,191031,103332,6.3,559
ORANGEPL,191031,103332,6.3,490
ORANGEPL,191031,103332,6.3,578
ORANGEPL,191031,103425,6.3,1022
ORANGEPL,191031,103513,6.3,3028
ORANGEPL,191031,103513,6.3,772
ORANGEPL,191031,103523,6.295,279
ORANGEPL,191031,103601,6.29,645
ORANGEPL,191031,103601,6.285,1003
ORANGEPL,191031,103601,6.285,1502
ORANGEPL,191031,103601,6.28,850
ORANGEPL,191031,103902,6.28,1022
ORANGEPL,191031,103902,6.28,420
ORANGEPL,191031,104004,6.28,158
ORANGEPL,191031,104004,6.28,477
ORANGEPL,191031,104651,6.275,140
ORANGEPL,191031,104651,6.275,918
ORANGEPL,191031,104731,6.27,348
ORANGEPL,191031,104731,6.27,488
ORANGEPL,191031,104731,6.27,8535
ORANGEPL,191031,104731,6.27,1000
ORANGEPL,191031,104731,6.265,790
ORANGEPL,191031,104731,6.265,1210
ORANGEPL,191031,104735,6.26,350
ORANGEPL,191031,104735,6.26,70
ORANGEPL,191031,104735,6.26,864
ORANGEPL,191031,104748,6.25,50
ORANGEPL,191031,104748,6.25,147
ORANGEPL,191031,105024,6.265,542
ORANGEPL,191031,105024,6.265,561
ORANGEPL,191031,105024,6.265,2755
ORANGEPL,191031,105424,6.265,142
ORANGEPL,191031,105424,6.265,36
ORANGEPL,191031,105424,6.265,243
ORANGEPL,191031,105613,6.26,140
ORANGEPL,191031,105735,6.26,140
ORANGEPL,191031,105735,6.26,70
ORANGEPL,191031,105735,6.26,819
ORANGEPL,191031,110000,6.26,311
ORANGEPL,191031,110000,6.26,120
ORANGEPL,191031,110000,6.26,1663
ORANGEPL,191031,110000,6.26,2280
ORANGEPL,191031,110215,6.27,500
ORANGEPL,191031,110215,6.27,555
ORANGEPL,191031,110231,6.27,140
ORANGEPL,191031,110231,6.27,366
ORANGEPL,191031,110231,6.27,628
ORANGEPL,191031,110313,6.275,600
ORANGEPL,191031,110451,6.275,971
ORANGEPL,191031,110451,6.28,529
